iter	Logloss
0	0.6715976972
1	0.6463339552
2	0.6248460426
3	0.6042165702
4	0.5855606942
5	0.5674491476
6	0.5524921902
7	0.5396573347
8	0.5258635686
9	0.5137675098
10	0.5023912244
11	0.4900674987
12	0.4800906754
13	0.4695881363
14	0.4622053247
15	0.459748639
16	0.4514619357
17	0.4433695148
18	0.4359798604
19	0.4288623789
20	0.4219166847
21	0.415749533
22	0.4098947577
23	0.4044489544
24	0.4001115841
25	0.3959576245
26	0.3915873695
27	0.3885957123
28	0.3839105294
29	0.3790657886
30	0.3745967532
31	0.3739174264
32	0.3714468612
33	0.3680182577
34	0.3656081054
35	0.363161495
36	0.3618171693
37	0.3589660892
38	0.3574568501
39	0.3551568765
40	0.3531704822
41	0.3496792133
42	0.3480829609
43	0.3452850399
44	0.3428460299
45	0.3406777339
46	0.3387120441
47	0.3375819137
48	0.3357879059
49	0.3330248569
50	0.3310714767
51	0.3293758272
52	0.3272656319
53	0.3255049159
54	0.3236558053
55	0.3220181053
56	0.3208426082
57	0.3207157913
58	0.31892824
59	0.3179080535
60	0.3166321969
61	0.3165384386
62	0.3158336814
63	0.3148373709
64	0.3135112986
65	0.3130300503
66	0.3113941464
67	0.3095590235
68	0.3083471519
69	0.3073400594
70	0.3060432587
71	0.3059214403
72	0.3047976677
73	0.3034179249
74	0.3028192677
75	0.3012444938
76	0.3001638006
77	0.3001230811
78	0.299304169
79	0.2984712875
80	0.2980991729
81	0.297616676
82	0.2975859007
83	0.2965248661
84	0.2956929817
85	0.2947368157
86	0.293347533
87	0.2918527263
88	0.290952797
89	0.2896532362
90	0.2888152852
91	0.2879029965
92	0.2870394857
93	0.2858857784
94	0.2849954072
95	0.2835865261
96	0.2824928142
97	0.2816542349
98	0.2809460184
99	0.2798725545
