iter	Passed	Remaining
0	130	12943
1	222	10921
2	314	10156
3	393	9437
4	451	8578
5	525	8226
6	584	7769
7	659	7584
8	725	7339
9	820	7382
10	905	7323
11	981	7198
12	1054	7054
13	1114	6845
14	1200	6803
15	1213	6372
16	1287	6283
17	1361	6202
18	1435	6120
19	1523	6092
20	1573	5919
21	1649	5846
22	1722	5765
23	1799	5698
24	1872	5616
25	1955	5565
26	2018	5457
27	2096	5390
28	2171	5317
29	2258	5269
30	2335	5198
31	2350	4994
32	2388	4848
33	2465	4785
34	2538	4714
35	2623	4663
36	2674	4553
37	2750	4488
38	2830	4427
39	2906	4360
40	2986	4296
41	3068	4237
42	3142	4165
43	3222	4101
44	3293	4025
45	3332	3912
46	3356	3784
47	3434	3720
48	3483	3626
49	3569	3569
50	3659	3515
51	3711	3426
52	3785	3357
53	3867	3294
54	3956	3237
55	4036	3171
56	4118	3106
57	4131	2992
58	4208	2924
59	4294	2862
60	4380	2800
61	4403	2698
62	4482	2632
63	4532	2549
64	4610	2482
65	4697	2419
66	4771	2350
67	4880	2296
68	4985	2239
69	5061	2169
70	5133	2096
71	5169	2010
72	5294	1958
73	5385	1892
74	5463	1821
75	5552	1753
76	5633	1682
77	5646	1592
78	5720	1520
79	5800	1450
80	5849	1372
81	5899	1295
82	5925	1213
83	6001	1143
84	6077	1072
85	6164	1003
86	6240	932
87	6318	861
88	6396	790
89	6482	720
90	6560	648
91	6635	577
92	6711	505
93	6788	433
94	6879	362
95	6955	289
96	7031	217
97	7106	145
98	7185	72
99	7275	0
